                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 5  *
 170.00  3.363  9.32E+30 8.40E+29 2.17E+31 5.87E+27 1.17E+28 1.74E+28 2.29E+28 2.83E+28 3.35E+28 3.83E+28 4.18E+28 4.26E+28 4.45E+28 4.62E+28 4.50E+28 4.46E+28 4.30E+28 4.13E+28 3.92E+28 3.68E+28 3.33E+28 3.14E+28 2.80E+28 2.50E+28 2.23E+28 1.90E+28 1.69E+28 1.46E+28 1.26E+28 1.05E+28 8.70E+27 7.06E+27 5.81E+27
 180.00  3.460  8.92E+31 7.99E+30 2.08E+32 5.44E+28 1.08E+29 1.61E+29 2.13E+29 2.63E+29 3.11E+29 3.57E+29 3.89E+29 3.98E+29 4.16E+29 4.33E+29 4.23E+29 4.21E+29 4.06E+29 3.92E+29 3.73E+29 3.51E+29 3.19E+29 3.02E+29 2.71E+29 2.43E+29 2.17E+29 1.86E+29 1.66E+29 1.44E+29 1.25E+29 1.05E+29 8.74E+28 7.14E+28 5.92E+28
 190.00  3.555  7.97E+32 7.08E+31 1.86E+33 4.72E+29 9.40E+29 1.40E+30 1.85E+30 2.29E+30 2.70E+30 3.10E+30 3.39E+30 3.47E+30 3.63E+30 3.78E+30 3.70E+30 3.70E+30 3.57E+30 3.46E+30 3.30E+30 3.11E+30 2.85E+30 2.70E+30 2.43E+30 2.19E+30 1.97E+30 1.69E+30 1.51E+30 1.32E+30 1.15E+30 9.73E+29 8.14E+29 6.69E+29 5.57E+29
 200.00  3.647  5.71E+33 4.92E+32 1.30E+34 3.21E+30 6.40E+30 9.54E+30 1.26E+31 1.56E+31 1.84E+31 2.11E+31 2.31E+31 2.37E+31 2.48E+31 2.59E+31 2.54E+31 2.54E+31 2.46E+31 2.39E+31 2.29E+31 2.16E+31 1.98E+31 1.89E+31 1.70E+31 1.54E+31 1.39E+31 1.19E+31 1.07E+31 9.45E+30 8.26E+30 7.01E+30 5.90E+30 4.86E+30 4.08E+30

                    ************************************************************************************************
                    *  Z= 43 A= 99: Negative-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.129  2.36E+00 9.43E+00 6.27E+01 3.03E-01 1.25E+00 7.30E-01 4.94E-01 1.24E+00 5.02E-03 2.42E-01 2.42E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.182  5.77E+00 1.36E+01 9.82E+01 5.62E-01 2.49E+00 1.33E+00 1.98E+00 1.98E+00 7.36E-01 2.45E-01 2.44E-01 2.42E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.223  1.07E+01 1.99E+01 1.50E+02 3.28E+00 5.17E+00 3.75E+00 3.91E+00 4.19E+00 2.22E+00 7.34E-01 4.86E-01 2.42E-01 2.42E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.258  1.86E+01 3.15E+01 2.40E+02 4.22E+00 4.47E+00 4.75E+00 5.12E+00 6.60E+00 4.17E+00 1.95E+00 7.36E-01 2.45E-01 2.42E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.288  3.02E+01 4.63E+01 3.53E+02 5.97E+00 5.26E+00 6.99E+00 6.84E+00 6.23E+00 7.32E+00 3.41E+00 2.19E+00 7.34E-01 2.44E-01 2.42E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.316  4.71E+01 6.76E+01 5.43E+02 6.45E+00 6.97E+00 8.72E+00 7.54E+00 1.02E+01 7.58E+00 6.58E+00 4.12E+00 1.95E+00 4.91E-01 2.44E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.341  7.16E+01 9.80E+01 8.10E+02 6.23E+00 6.02E+00 9.29E+00 9.83E+00 1.06E+01 9.52E+00 7.80E+00 5.59E+00 3.40E+00 1.46E+00 4.89E-01 2.42E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.365  1.03E+02 1.27E+02 1.12E+03 9.61E+00 1.53E+01 2.40E+01 1.99E+01 1.71E+01 1.27E+01 1.07E+01 9.28E+00 5.82E+00 2.91E+00 1.22E+00 2.45E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.387  1.51E+02 1.89E+02 1.65E+03 1.10E+01 3.00E+01 3.34E+01 3.00E+01 3.24E+01 2.00E+01 1.89E+01 1.20E+01 7.51E+00 5.81E+00 2.43E+00 7.34E-01 2.44E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.408  2.23E+02 2.89E+02 2.51E+03 1.99E+01 3.55E+01 4.06E+01 4.13E+01 4.47E+01 3.54E+01 2.62E+01 1.77E+01 9.24E+00 6.55E+00 5.57E+00 1.95E+00 4.89E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.428  3.32E+02 4.36E+02 3.86E+03 2.46E+01 4.62E+01 5.13E+01 5.84E+01 5.98E+01 5.15E+01 4.36E+01 2.92E+01 1.66E+01 9.22E+00 5.82E+00 3.40E+00 1.22E+00 2.44E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.447  4.85E+02 6.13E+02 5.60E+03 3.01E+01 6.02E+01 6.72E+01 8.04E+01 7.94E+01 7.18E+01 5.86E+01 4.39E+01 2.59E+01 1.33E+01 8.01E+00 5.82E+00 2.43E+00 4.91E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.465  6.89E+02 8.16E+02 7.77E+03 5.18E+01 7.73E+01 1.11E+02 1.22E+02 1.11E+02 1.03E+02 8.16E+01 5.98E+01 4.32E+01 2.10E+01 1.11E+01 7.51E+00 5.57E+00 1.46E+00 2.44E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.483  9.72E+02 1.13E+03 1.10E+04 7.43E+01 1.09E+02 1.54E+02 1.80E+02 1.66E+02 1.47E+02 1.17E+02 8.52E+01 6.46E+01 3.92E+01 1.73E+01 9.23E+00 5.82E+00 2.91E+00 4.91E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.499  1.36E+03 1.56E+03 1.53E+04 1.01E+02 1.61E+02 2.26E+02 2.52E+02 2.55E+02 2.13E+02 1.59E+02 1.29E+02 8.88E+01 5.92E+01 3.33E+01 1.50E+01 8.01E+00 5.81E+00 1.46E+00 2.44E-01 2.42E-01 1.67E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.516  1.96E+03 2.40E+03 2.31E+04 1.20E+02 2.04E+02 2.87E+02 3.40E+02 3.46E+02 3.01E+02 2.38E+02 1.83E+02 1.27E+02 8.16E+01 5.00E+01 2.38E+01 1.11E+01 6.07E+00 2.91E+00 4.91E-01 2.42E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.532  2.83E+03 3.48E+03 3.37E+04 1.44E+02 2.89E+02 4.08E+02 4.75E+02 4.71E+02 4.05E+02 3.35E+02 2.78E+02 1.76E+02 1.15E+02 7.08E+01 3.93E+01 1.58E+01 8.97E+00 5.82E+00 1.46E+00 2.46E-01 2.42E-01 8.37E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.547  4.01E+03 4.71E+03 4.67E+04 2.02E+02 4.06E+02 5.70E+02 6.61E+02 6.62E+02 5.74E+02 4.76E+02 3.86E+02 2.61E+02 1.70E+02 1.04E+02 5.93E+01 2.77E+01 1.30E+01 7.32E+00 2.92E+00 8.50E-01 2.42E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.562  5.60E+03 6.37E+03 6.50E+04 2.84E+02 5.70E+02 7.96E+02 9.19E+02 9.30E+02 8.13E+02 6.78E+02 5.36E+02 3.86E+02 2.50E+02 1.53E+02 8.95E+01 4.85E+01 1.90E+01 9.22E+00 5.82E+00 1.46E+00 2.45E-01 2.42E-01 8.37E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.577  7.81E+03 8.83E+03 9.05E+04 3.77E+02 7.56E+02 1.08E+03 1.24E+03 1.25E+03 1.13E+03 9.47E+02 7.58E+02 5.46E+02 3.60E+02 2.26E+02 1.31E+02 6.91E+01 3.16E+01 1.32E+01 7.32E+00 2.92E+00 7.29E-01 2.42E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.605  1.63E+04 1.71E+04 1.77E+05 6.99E+02 1.36E+03 1.98E+03 2.27E+03 2.31E+03 2.11E+03 1.81E+03 1.48E+03 1.08E+03 7.35E+02 4.68E+02 2.79E+02 1.47E+02 7.72E+01 3.23E+01 1.32E+01 7.22E+00 2.61E+00 4.86E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.632  3.23E+04 3.18E+04 3.38E+05 1.31E+03 2.52E+03 3.61E+03 4.18E+03 4.30E+03 3.91E+03 3.40E+03 2.82E+03 2.10E+03 1.47E+03 9.47E+02 5.79E+02 3.27E+02 1.69E+02 8.00E+01 3.23E+01 1.30E+01 6.68E+00 2.07E+00 3.64E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.658  6.10E+04 5.76E+04 6.28E+05 2.30E+03 4.45E+03 6.29E+03 7.37E+03 7.70E+03 7.12E+03 6.26E+03 5.30E+03 3.99E+03 2.82E+03 1.90E+03 1.18E+03 6.90E+02 3.66E+02 1.73E+02 7.97E+01 3.16E+01 1.12E+01 5.06E+00 1.46E+00 2.42E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.682  1.13E+05 1.04E+05 1.15E+06 3.98E+03 7.66E+03 1.09E+04 1.28E+04 1.34E+04 1.26E+04 1.12E+04 9.68E+03 7.45E+03 5.34E+03 3.65E+03 2.35E+03 1.38E+03 7.62E+02 3.80E+02 1.73E+02 7.62E+01 2.75E+01 1.06E+01 3.76E+00 8.50E-01 2.42E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.706  2.04E+05 1.82E+05 2.07E+06 6.76E+03 1.30E+04 1.86E+04 2.21E+04 2.33E+04 2.21E+04 1.98E+04 1.71E+04 1.35E+04 1.00E+04 6.92E+03 4.54E+03 2.71E+03 1.56E+03 8.03E+02 3.83E+02 1.64E+02 6.82E+01 2.43E+01 8.05E+00 2.92E+00 4.86E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.729  3.61E+05 3.14E+05 3.65E+06 1.09E+04 2.12E+04 3.05E+04 3.63E+04 3.88E+04 3.73E+04 3.42E+04 3.00E+04 2.38E+04 1.80E+04 1.27E+04 8.54E+03 5.24E+03 3.08E+03 1.65E+03 8.06E+02 3.62E+02 1.46E+02 5.72E+01 1.90E+01 7.32E+00 2.07E+00 3.64E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.752  6.25E+05 5.29E+05 6.28E+06 1.77E+04 3.47E+04 4.98E+04 5.93E+04 6.36E+04 6.16E+04 5.70E+04 5.09E+04 4.14E+04 3.17E+04 2.29E+04 1.57E+04 9.97E+03 5.98E+03 3.28E+03 1.66E+03 7.75E+02 3.30E+02 1.24E+02 4.71E+01 1.32E+01 5.06E+00 1.34E+00 2.42E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.774  1.06E+06 8.71E+05 1.06E+07 2.85E+04 5.56E+04 8.00E+04 9.60E+04 1.04E+05 1.01E+05 9.43E+04 8.46E+04 6.96E+04 5.46E+04 4.04E+04 2.82E+04 1.83E+04 1.13E+04 6.36E+03 3.32E+03 1.60E+03 7.07E+02 2.79E+02 1.00E+02 3.23E+01 1.06E+01 3.50E+00 4.86E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.795  1.76E+06 1.40E+06 1.74E+07 4.40E+04 8.58E+04 1.24E+05 1.49E+05 1.63E+05 1.61E+05 1.52E+05 1.37E+05 1.14E+05 9.07E+04 6.84E+04 4.88E+04 3.23E+04 2.05E+04 1.19E+04 6.37E+03 3.19E+03 1.43E+03 6.08E+02 2.17E+02 8.10E+01 2.31E+01 8.31E+00 2.43E+00 5.46E-01 6.09E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  0.816  2.88E+06 2.23E+06 2.83E+07 6.72E+04 1.32E+05 1.91E+05 2.31E+05 2.52E+05 2.50E+05 2.37E+05 2.17E+05 1.84E+05 1.49E+05 1.14E+05 8.25E+04 5.61E+04 3.68E+04 2.19E+04 1.21E+04 6.25E+03 2.87E+03 1.27E+03 4.77E+02 1.76E+02 5.43E+01 1.84E+01 5.82E+00 1.15E+00 1.82E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  0.855  8.19E+06 5.31E+06 7.03E+07 1.47E+05 2.87E+05 4.17E+05 5.09E+05 5.64E+05 5.70E+05 5.52E+05 5.17E+05 4.49E+05 3.72E+05 2.92E+05 2.22E+05 1.57E+05 1.07E+05 6.77E+04 4.00E+04 2.17E+04 1.08E+04 5.15E+03 2.11E+03 8.30E+02 2.85E+02 8.93E+01 2.60E+01 6.04E+00 2.24E+00 1.82E-01 1.00E-30 1.00E-30 1.00E-30
  12.00  0.893  1.99E+07 1.17E+07 1.61E+08 2.99E+05 5.87E+05 8.56E+05 1.05E+06 1.18E+06 1.21E+06 1.19E+06 1.13E+06 9.98E+05 8.51E+05 6.92E+05 5.43E+05 3.98E+05 2.82E+05 1.88E+05 1.17E+05 6.74E+04 3.64E+04 1.84E+04 8.26E+03 3.50E+03 1.30E+03 4.29E+02 1.27E+02 3.68E+01 9.11E+00 3.15E+00 1.82E-01 1.82E-01 1.00E-30
  13.00  0.930  4.38E+07 2.40E+07 3.45E+08 5.68E+05 1.12E+06 1.63E+06 2.02E+06 2.28E+06 2.37E+06 2.36E+06 2.28E+06 2.06E+06 1.80E+06 1.50E+06 1.21E+06 9.22E+05 6.82E+05 4.72E+05 3.08E+05 1.89E+05 1.08E+05 5.87E+04 2.85E+04 1.32E+04 5.29E+03 1.94E+03 6.18E+02 1.85E+02 4.95E+01 1.10E+01 4.43E+00 2.42E-01 1.82E-01
  14.00  0.965  9.00E+07 4.62E+07 6.90E+08 1.02E+06 2.01E+06 2.94E+06 3.65E+06 4.16E+06 4.36E+06 4.40E+06 4.31E+06 3.96E+06 3.52E+06 3.00E+06 2.49E+06 1.96E+06 1.49E+06 1.08E+06 7.39E+05 4.75E+05 2.87E+05 1.67E+05 8.59E+04 4.37E+04 1.89E+04 7.62E+03 2.68E+03 8.82E+02 2.62E+02 5.78E+01 1.41E+01 4.43E+00 4.24E-01
  15.00  0.999  1.74E+08 8.42E+07 1.31E+09 1.75E+06 3.45E+06 5.05E+06 6.30E+06 7.20E+06 7.61E+06 7.75E+06 7.67E+06 7.16E+06 6.47E+06 5.63E+06 4.76E+06 3.85E+06 3.02E+06 2.27E+06 1.62E+06 1.09E+06 6.94E+05 4.24E+05 2.35E+05 1.27E+05 6.02E+04 2.63E+04 1.02E+04 3.70E+03 1.20E+03 3.08E+02 7.35E+01 1.67E+01 4.31E+00
  16.00  1.032  3.21E+08 1.47E+08 2.35E+09 2.89E+06 5.69E+06 8.32E+06 1.04E+07 1.19E+07 1.28E+07 1.31E+07 1.31E+07 1.23E+07 1.13E+07 9.94E+06 8.58E+06 7.08E+06 5.71E+06 4.40E+06 3.25E+06 2.29E+06 1.52E+06 9.87E+05 5.81E+05 3.33E+05 1.70E+05 8.02E+04 3.46E+04 1.37E+04 4.86E+03 1.41E+03 3.81E+02 8.32E+01 1.84E+01
  17.00  1.063  5.68E+08 2.47E+08 4.07E+09 4.66E+06 9.16E+06 1.34E+07 1.69E+07 1.94E+07 2.08E+07 2.14E+07 2.15E+07 2.04E+07 1.89E+07 1.69E+07 1.47E+07 1.24E+07 1.02E+07 8.03E+06 6.10E+06 4.45E+06 3.10E+06 2.09E+06 1.30E+06 7.93E+05 4.32E+05 2.21E+05 1.03E+05 4.52E+04 1.74E+04 5.69E+03 1.71E+03 4.17E+02 9.08E+01
  18.00  1.094  9.72E+08 4.05E+08 6.83E+09 7.33E+06 1.44E+07 2.12E+07 2.66E+07 3.07E+07 3.30E+07 3.41E+07 3.44E+07 3.29E+07 3.06E+07 2.76E+07 2.43E+07 2.07E+07 1.73E+07 1.39E+07 1.08E+07 8.14E+06 5.86E+06 4.11E+06 2.69E+06 1.72E+06 1.00E+06 5.49E+05 2.76E+05 1.31E+05 5.60E+04 2.02E+04 6.78E+03 1.87E+03 4.43E+02
  19.00  1.124  1.62E+09 6.49E+08 1.12E+10 1.15E+07 2.25E+07 3.31E+07 4.15E+07 4.80E+07 5.17E+07 5.36E+07 5.41E+07 5.19E+07 4.85E+07 4.41E+07 3.92E+07 3.37E+07 2.84E+07 2.32E+07 1.84E+07 1.41E+07 1.04E+07 7.56E+06 5.15E+06 3.44E+06 2.12E+06 1.24E+06 6.69E+05 3.41E+05 1.59E+05 6.36E+04 2.35E+04 7.39E+03 1.99E+03
  20.00  1.153  2.64E+09 1.02E+09 1.78E+10 1.76E+07 3.47E+07 5.08E+07 6.40E+07 7.41E+07 7.99E+07 8.31E+07 8.40E+07 8.08E+07 7.58E+07 6.91E+07 6.17E+07 5.33E+07 4.52E+07 3.73E+07 2.98E+07 2.32E+07 1.75E+07 1.30E+07 9.09E+06 6.27E+06 4.03E+06 2.48E+06 1.41E+06 7.71E+05 3.87E+05 1.69E+05 6.86E+04 2.40E+04 7.31E+03
  22.50  1.223  1.04E+10 3.09E+09 5.59E+10 5.10E+07 1.01E+08 1.47E+08 1.86E+08 2.16E+08 2.34E+08 2.44E+08 2.48E+08 2.40E+08 2.27E+08 2.08E+08 1.87E+08 1.64E+08 1.41E+08 1.17E+08 9.56E+07 7.64E+07 5.94E+07 4.56E+07 3.37E+07 2.47E+07 1.72E+07 1.16E+07 7.50E+06 4.71E+06 2.77E+06 1.47E+06 7.38E+05 3.29E+05 1.32E+05
  25.00  1.290  3.34E+10 9.21E+09 1.69E+11 1.48E+08 2.93E+08 4.30E+08 5.44E+08 6.32E+08 6.84E+08 7.16E+08 7.29E+08 7.08E+08 6.70E+08 6.17E+08 5.57E+08 4.88E+08 4.23E+08 3.56E+08 2.92E+08 2.35E+08 1.84E+08 1.44E+08 1.08E+08 8.12E+07 5.85E+07 4.15E+07 2.85E+07 1.92E+07 1.25E+07 7.51E+06 4.39E+06 2.33E+06 1.14E+06
  30.00  1.413  4.52E+11 8.38E+10 1.56E+12 1.31E+09 2.59E+09 3.82E+09 4.83E+09 5.62E+09 6.12E+09 6.41E+09 6.55E+09 6.38E+09 6.07E+09 5.61E+09 5.09E+09 4.48E+09 3.89E+09 3.29E+09 2.70E+09 2.18E+09 1.72E+09 1.36E+09 1.03E+09 7.85E+08 5.76E+08 4.17E+08 2.97E+08 2.11E+08 1.47E+08 9.76E+07 6.51E+07 4.17E+07 2.57E+07
  40.00  1.631  7.08E+13 7.04E+12 1.36E+14 1.02E+11 2.01E+11 2.97E+11 3.78E+11 4.43E+11 4.85E+11 5.15E+11 5.32E+11 5.25E+11 5.06E+11 4.74E+11 4.36E+11 3.90E+11 3.44E+11 2.96E+11 2.48E+11 2.03E+11 1.62E+11 1.30E+11 9.94E+10 7.67E+10 5.65E+10 4.11E+10 2.93E+10 2.09E+10 1.46E+10 9.74E+09 6.54E+09 4.27E+09 2.75E+09
  50.00  1.824  4.13E+15 4.05E+14 8.20E+15 5.28E+12 1.05E+13 1.55E+13 1.98E+13 2.35E+13 2.60E+13 2.78E+13 2.91E+13 2.90E+13 2.84E+13 2.71E+13 2.52E+13 2.30E+13 2.07E+13 1.81E+13 1.56E+13 1.31E+13 1.07E+13 8.82E+12 6.95E+12 5.53E+12 4.20E+12 3.15E+12 2.33E+12 1.71E+12 1.24E+12 8.55E+11 5.91E+11 3.95E+11 2.60E+11
  60.00  1.998  4.08E+17 4.04E+16 8.69E+17 4.30E+14 8.55E+14 1.27E+15 1.66E+15 2.04E+15 2.37E+15 2.69E+15 2.86E+15 2.74E+15 2.76E+15 2.77E+15 2.51E+15 2.36E+15 2.13E+15 1.91E+15 1.69E+15 1.46E+15 1.20E+15 1.05E+15 8.44E+14 6.81E+14 5.46E+14 4.04E+14 3.22E+14 2.48E+14 1.88E+14 1.36E+14 9.53E+13 6.50E+13 4.54E+13
  70.00  2.158  1.39E+19 1.35E+18 2.97E+19 1.34E+16 2.67E+16 3.96E+16 5.19E+16 6.36E+16 7.45E+16 8.45E+16 9.01E+16 8.77E+16 8.86E+16 8.94E+16 8.23E+16 7.81E+16 7.11E+16 6.46E+16 5.79E+16 5.10E+16 4.25E+16 3.78E+16 3.09E+16 2.54E+16 2.08E+16 1.58E+16 1.29E+16 1.01E+16 7.87E+15 5.83E+15 4.24E+15 2.99E+15 2.16E+15
  80.00  2.307  3.71E+20 3.58E+19 8.15E+20 3.39E+17 6.74E+17 1.00E+18 1.31E+18 1.61E+18 1.89E+18 2.15E+18 2.31E+18 2.26E+18 2.30E+18 2.33E+18 2.16E+18 2.07E+18 1.91E+18 1.75E+18 1.58E+18 1.41E+18 1.19E+18 1.07E+18 8.91E+17 7.45E+17 6.18E+17 4.80E+17 3.97E+17 3.17E+17 2.52E+17 1.91E+17 1.42E+17 1.03E+17 7.62E+16
  90.00  2.447  8.33E+21 7.96E+20 1.86E+22 7.23E+18 1.43E+19 2.13E+19 2.80E+19 3.44E+19 4.05E+19 4.60E+19 4.94E+19 4.88E+19 4.99E+19 5.08E+19 4.76E+19 4.58E+19 4.25E+19 3.94E+19 3.59E+19 3.23E+19 2.77E+19 2.51E+19 2.11E+19 1.78E+19 1.51E+19 1.19E+19 9.93E+18 8.06E+18 6.51E+18 5.01E+18 3.81E+18 2.82E+18 2.13E+18
 100.00  2.579  1.62E+23 1.53E+22 3.64E+23 1.33E+20 2.64E+20 3.92E+20 5.16E+20 6.34E+20 7.47E+20 8.50E+20 9.15E+20 9.10E+20 9.32E+20 9.54E+20 9.00E+20 8.72E+20 8.14E+20 7.59E+20 6.98E+20 6.32E+20 5.48E+20 5.00E+20 4.26E+20 3.64E+20 3.10E+20 2.48E+20 2.09E+20 1.72E+20 1.41E+20 1.10E+20 8.51E+19 6.42E+19 4.93E+19
 110.00  2.705  2.74E+24 2.58E+23 6.24E+24 2.15E+21 4.28E+21 6.38E+21 8.40E+21 1.03E+22 1.22E+22 1.38E+22 1.49E+22 1.49E+22 1.53E+22 1.58E+22 1.50E+22 1.46E+22 1.37E+22 1.29E+22 1.19E+22 1.08E+22 9.48E+21 8.70E+21 7.48E+21 6.45E+21 5.54E+21 4.49E+21 3.84E+21 3.18E+21 2.63E+21 2.09E+21 1.63E+21 1.25E+21 9.74E+20
 120.00  2.825  4.16E+25 3.89E+24 9.56E+25 3.13E+22 6.24E+22 9.28E+22 1.23E+23 1.51E+23 1.77E+23 2.03E+23 2.19E+23 2.20E+23 2.27E+23 2.33E+23 2.23E+23 2.18E+23 2.06E+23 1.94E+23 1.80E+23 1.66E+23 1.46E+23 1.34E+23 1.17E+23 1.02E+23 8.78E+22 7.18E+22 6.19E+22 5.19E+22 4.34E+22 3.48E+22 2.75E+22 2.14E+22 1.68E+22
