                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 2  *
 170.00  3.616  7.76E+33 7.13E+32 1.76E+34 6.17E+30 1.22E+31 1.79E+31 2.31E+31 2.78E+31 3.18E+31 3.50E+31 3.75E+31 3.92E+31 4.01E+31 4.03E+31 3.98E+31 3.86E+31 3.70E+31 3.50E+31 3.26E+31 3.00E+31 2.73E+31 2.45E+31 2.18E+31 1.91E+31 1.66E+31 1.43E+31 1.22E+31 1.03E+31 8.54E+30 7.05E+30 5.75E+30 4.65E+30 3.73E+30
 180.00  3.720  8.93E+34 8.16E+33 2.04E+35 6.86E+31 1.35E+32 1.99E+32 2.58E+32 3.10E+32 3.55E+32 3.92E+32 4.21E+32 4.40E+32 4.52E+32 4.55E+32 4.50E+32 4.39E+32 4.22E+32 4.00E+32 3.74E+32 3.46E+32 3.16E+32 2.85E+32 2.54E+32 2.25E+32 1.96E+32 1.70E+32 1.45E+32 1.23E+32 1.03E+32 8.56E+31 7.04E+31 5.73E+31 4.62E+31
 190.00  3.822  9.65E+35 8.76E+34 2.21E+36 7.18E+32 1.42E+33 2.08E+33 2.70E+33 3.25E+33 3.73E+33 4.12E+33 4.43E+33 4.65E+33 4.78E+33 4.82E+33 4.78E+33 4.67E+33 4.51E+33 4.28E+33 4.02E+33 3.73E+33 3.42E+33 3.10E+33 2.78E+33 2.47E+33 2.17E+33 1.88E+33 1.62E+33 1.38E+33 1.16E+33 9.70E+32 8.03E+32 6.57E+32 5.34E+32
 200.00  3.922  9.84E+36 8.87E+35 2.25E+37 7.09E+33 1.40E+34 2.06E+34 2.67E+34 3.22E+34 3.70E+34 4.09E+34 4.40E+34 4.63E+34 4.76E+34 4.82E+34 4.79E+34 4.70E+34 4.54E+34 4.33E+34 4.08E+34 3.80E+34 3.49E+34 3.18E+34 2.86E+34 2.55E+34 2.25E+34 1.96E+34 1.70E+34 1.45E+34 1.23E+34 1.03E+34 8.59E+33 7.08E+33 5.78E+33

                    ************************************************************************************************
                    *  Z= 43 A= 99: Negative-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.139  1.67E+00 6.68E+00 4.25E+01 7.34E-01 1.23E+00 1.38E+00 1.23E+00 9.08E-01 5.74E-01 3.14E-01 1.50E-01 6.28E-02 2.31E-02 7.49E-03 2.14E-03 5.42E-04 1.21E-04 2.40E-05 4.22E-06 6.58E-07 9.09E-08 1.11E-08 1.21E-09 1.17E-10 1.01E-11 7.66E-13 5.19E-14 3.12E-15 1.67E-16 7.94E-18 3.36E-19 1.26E-20 4.21E-22
   0.50  0.196  4.72E+00 1.22E+01 7.77E+01 1.34E+00 2.25E+00 2.53E+00 2.24E+00 1.66E+00 1.05E+00 5.75E-01 2.75E-01 1.15E-01 4.22E-02 1.37E-02 3.92E-03 9.91E-04 2.22E-04 4.40E-05 7.72E-06 1.20E-06 1.66E-07 2.04E-08 2.22E-09 2.14E-10 1.84E-11 1.40E-12 9.49E-14 5.71E-15 3.05E-16 1.45E-17 6.13E-19 2.30E-20 7.70E-22
   0.75  0.240  1.01E+01 2.15E+01 1.37E+02 2.34E+00 3.93E+00 4.42E+00 3.94E+00 2.92E+00 1.86E+00 1.02E+00 4.92E-01 2.07E-01 7.69E-02 2.51E-02 7.27E-03 1.86E-03 4.21E-04 8.44E-05 1.50E-05 2.37E-06 3.33E-07 4.14E-08 4.59E-09 4.51E-10 3.94E-11 3.06E-12 2.12E-13 1.30E-14 7.11E-16 3.46E-17 1.50E-18 5.76E-20 1.97E-21
   1.00  0.277  1.89E+01 3.54E+01 2.35E+02 3.62E+00 6.15E+00 7.05E+00 6.45E+00 4.96E+00 3.29E+00 1.91E+00 9.70E-01 4.37E-01 1.74E-01 6.18E-02 1.95E-02 5.50E-03 1.38E-03 3.10E-04 6.22E-05 1.12E-05 1.79E-06 2.58E-07 3.31E-08 3.82E-09 3.94E-10 3.65E-11 3.02E-12 2.24E-13 1.49E-14 8.92E-16 4.77E-17 2.29E-18 9.85E-20
   1.25  0.310  3.32E+01 5.70E+01 3.93E+02 5.48E+00 9.41E+00 1.10E+01 1.03E+01 8.15E+00 5.61E+00 3.39E+00 1.82E+00 8.66E-01 3.69E-01 1.40E-01 4.79E-02 1.47E-02 4.04E-03 1.00E-03 2.23E-04 4.48E-05 8.09E-06 1.32E-06 1.93E-07 2.56E-08 3.05E-09 3.29E-10 3.19E-11 2.80E-12 2.21E-13 1.58E-14 1.02E-15 5.93E-17 3.11E-18
   1.50  0.340  5.57E+01 8.98E+01 6.41E+02 8.14E+00 1.41E+01 1.67E+01 1.60E+01 1.30E+01 9.26E+00 5.82E+00 3.26E+00 1.64E+00 7.37E-01 2.99E-01 1.09E-01 3.60E-02 1.08E-02 2.90E-03 7.09E-04 1.57E-04 3.15E-05 5.73E-06 9.44E-07 1.41E-07 1.92E-08 2.36E-09 2.64E-10 2.67E-11 2.46E-12 2.06E-13 1.56E-14 1.08E-15 6.75E-17
   1.75  0.367  9.04E+01 1.39E+02 1.02E+03 1.19E+01 2.08E+01 2.50E+01 2.43E+01 2.03E+01 1.49E+01 9.68E+00 5.64E+00 2.96E+00 1.40E+00 6.01E-01 2.33E-01 8.23E-02 2.64E-02 7.69E-03 2.04E-03 4.93E-04 1.08E-04 2.18E-05 3.98E-06 6.63E-07 1.01E-07 1.40E-08 1.77E-09 2.04E-10 2.16E-11 2.07E-12 1.82E-13 1.46E-14 1.07E-15
   2.00  0.392  1.43E+02 2.11E+02 1.61E+03 1.72E+01 3.03E+01 3.67E+01 3.64E+01 3.10E+01 2.33E+01 1.57E+01 9.45E+00 5.16E+00 2.56E+00 1.15E+00 4.73E-01 1.77E-01 6.04E-02 1.89E-02 5.39E-03 1.41E-03 3.37E-04 7.37E-05 1.48E-05 2.71E-06 4.57E-07 7.05E-08 9.98E-09 1.29E-09 1.54E-10 1.68E-11 1.68E-12 1.54E-13 1.30E-14
   2.25  0.416  2.22E+02 3.16E+02 2.48E+03 2.45E+01 4.35E+01 5.33E+01 5.35E+01 4.65E+01 3.58E+01 2.47E+01 1.54E+01 8.73E+00 4.50E+00 2.12E+00 9.14E-01 3.61E-01 1.31E-01 4.34E-02 1.32E-02 3.71E-03 9.55E-04 2.26E-04 4.93E-05 9.89E-06 1.82E-06 3.10E-07 4.85E-08 6.98E-09 9.25E-10 1.13E-10 1.27E-11 1.32E-12 1.26E-13
   2.50  0.438  3.39E+02 4.67E+02 3.76E+03 3.46E+01 6.16E+01 7.63E+01 7.77E+01 6.87E+01 5.40E+01 3.82E+01 2.45E+01 1.44E+01 7.68E+00 3.77E+00 1.70E+00 7.03E-01 2.68E-01 9.42E-02 3.05E-02 9.11E-03 2.51E-03 6.38E-04 1.50E-04 3.25E-05 6.53E-06 1.21E-06 2.07E-07 3.28E-08 4.79E-09 6.48E-10 8.11E-11 9.38E-12 1.00E-12
   2.75  0.460  5.09E+02 6.82E+02 5.63E+03 4.82E+01 8.64E+01 1.08E+02 1.11E+02 1.00E+02 8.01E+01 5.80E+01 3.82E+01 2.30E+01 1.27E+01 6.49E+00 3.04E+00 1.32E+00 5.26E-01 1.95E-01 6.65E-02 2.10E-02 6.17E-03 1.67E-03 4.21E-04 9.82E-05 2.12E-05 4.25E-06 7.91E-07 1.36E-07 2.18E-08 3.24E-09 4.46E-10 5.70E-11 6.77E-12
   3.00  0.480  7.55E+02 9.84E+02 8.33E+03 6.67E+01 1.20E+02 1.51E+02 1.58E+02 1.44E+02 1.17E+02 8.66E+01 5.84E+01 3.62E+01 2.06E+01 1.09E+01 5.29E+00 2.38E+00 9.94E-01 3.85E-01 1.38E-01 4.61E-02 1.43E-02 4.12E-03 1.10E-03 2.74E-04 6.35E-05 1.37E-05 2.74E-06 5.12E-07 8.88E-08 1.44E-08 2.16E-09 3.02E-10 3.94E-11
   3.25  0.500  1.11E+03 1.41E+03 1.22E+04 9.14E+01 1.65E+02 2.10E+02 2.21E+02 2.04E+02 1.69E+02 1.27E+02 8.79E+01 5.58E+01 3.27E+01 1.78E+01 8.94E+00 4.18E+00 1.81E+00 7.32E-01 2.75E-01 9.64E-02 3.15E-02 9.56E-03 2.71E-03 7.17E-04 1.77E-04 4.07E-05 8.74E-06 1.75E-06 3.27E-07 5.72E-08 9.32E-09 1.42E-09 2.02E-10
   3.50  0.519  1.60E+03 1.99E+03 1.76E+04 1.24E+02 2.26E+02 2.88E+02 3.06E+02 2.86E+02 2.41E+02 1.85E+02 1.30E+02 8.45E+01 5.08E+01 2.84E+01 1.47E+01 7.12E+00 3.21E+00 1.35E+00 5.28E-01 1.93E-01 6.61E-02 2.11E-02 6.32E-03 1.76E-03 4.61E-04 1.13E-04 2.58E-05 5.52E-06 1.11E-06 2.08E-07 3.64E-08 5.99E-09 9.23E-10
   3.75  0.537  2.30E+03 2.79E+03 2.53E+04 1.68E+02 3.06E+02 3.93E+02 4.21E+02 3.98E+02 3.40E+02 2.65E+02 1.90E+02 1.26E+02 7.77E+01 4.45E+01 2.38E+01 1.19E+01 5.52E+00 2.40E+00 9.79E-01 3.74E-01 1.33E-01 4.47E-02 1.40E-02 4.12E-03 1.14E-03 2.94E-04 7.12E-05 1.62E-05 3.46E-06 6.93E-07 1.30E-07 2.30E-08 3.81E-09
   4.00  0.555  3.27E+03 3.88E+03 3.59E+04 2.25E+02 4.12E+02 5.32E+02 5.75E+02 5.49E+02 4.74E+02 3.75E+02 2.74E+02 1.85E+02 1.17E+02 6.85E+01 3.76E+01 1.93E+01 9.27E+00 4.17E+00 1.76E+00 6.98E-01 2.60E-01 9.07E-02 2.98E-02 9.17E-03 2.66E-03 7.24E-04 1.85E-04 4.46E-05 1.01E-05 2.15E-06 4.31E-07 8.12E-08 1.44E-08
   4.25  0.572  4.61E+03 5.36E+03 5.06E+04 3.00E+02 5.50E+02 7.15E+02 7.79E+02 7.51E+02 6.56E+02 5.26E+02 3.90E+02 2.69E+02 1.73E+02 1.04E+02 5.84E+01 3.08E+01 1.52E+01 7.07E+00 3.08E+00 1.27E+00 4.89E-01 1.78E-01 6.08E-02 1.96E-02 5.94E-03 1.70E-03 4.57E-04 1.16E-04 2.77E-05 6.25E-06 1.33E-06 2.66E-07 5.02E-08
   4.50  0.588  6.44E+03 7.34E+03 7.07E+04 3.97E+02 7.31E+02 9.54E+02 1.05E+03 1.02E+03 9.00E+02 7.31E+02 5.51E+02 3.86E+02 2.53E+02 1.55E+02 8.92E+01 4.82E+01 2.45E+01 1.17E+01 5.27E+00 2.23E+00 8.93E-01 3.37E-01 1.20E-01 4.02E-02 1.27E-02 3.80E-03 1.07E-03 2.86E-04 7.19E-05 1.71E-05 3.83E-06 8.13E-07 1.63E-07
   4.75  0.604  8.94E+03 1.00E+04 9.81E+04 5.23E+02 9.66E+02 1.27E+03 1.40E+03 1.37E+03 1.23E+03 1.01E+03 7.69E+02 5.48E+02 3.65E+02 2.28E+02 1.34E+02 7.42E+01 3.86E+01 1.90E+01 8.79E+00 3.85E+00 1.59E+00 6.20E-01 2.29E-01 7.97E-02 2.62E-02 8.18E-03 2.41E-03 6.72E-04 1.77E-04 4.43E-05 1.05E-05 2.34E-06 4.95E-07
   5.00  0.620  1.23E+04 1.35E+04 1.35E+05 6.86E+02 1.27E+03 1.67E+03 1.86E+03 1.84E+03 1.66E+03 1.38E+03 1.06E+03 7.70E+02 5.21E+02 3.32E+02 1.99E+02 1.13E+02 6.00E+01 3.02E+01 1.44E+01 6.47E+00 2.76E+00 1.11E+00 4.24E-01 1.53E-01 5.23E-02 1.70E-02 5.21E-03 1.52E-03 4.18E-04 1.09E-04 2.71E-05 6.36E-06 1.42E-06
   5.50  0.650  2.45E+04 2.43E+04 2.52E+05 1.16E+03 2.16E+03 2.86E+03 3.22E+03 3.23E+03 2.96E+03 2.51E+03 1.99E+03 1.48E+03 1.03E+03 6.79E+02 4.22E+02 2.48E+02 1.38E+02 7.29E+01 3.64E+01 1.73E+01 7.77E+00 3.32E+00 1.35E+00 5.19E-01 1.90E-01 6.61E-02 2.19E-02 6.88E-03 2.06E-03 5.84E-04 1.58E-04 4.06E-05 9.92E-06
   6.00  0.679  4.59E+04 4.29E+04 4.58E+05 1.93E+03 3.60E+03 4.82E+03 5.47E+03 5.55E+03 5.17E+03 4.47E+03 3.62E+03 2.75E+03 1.97E+03 1.34E+03 8.58E+02 5.22E+02 3.02E+02 1.66E+02 8.66E+01 4.30E+01 2.03E+01 9.14E+00 3.92E+00 1.60E+00 6.21E-01 2.30E-01 8.13E-02 2.74E-02 8.79E-03 2.69E-03 7.85E-04 2.19E-04 5.80E-05
   6.50  0.707  8.30E+04 7.41E+04 8.15E+05 3.16E+03 5.92E+03 7.96E+03 9.11E+03 9.36E+03 8.84E+03 7.77E+03 6.40E+03 4.97E+03 3.65E+03 2.54E+03 1.68E+03 1.05E+03 6.30E+02 3.59E+02 1.95E+02 1.01E+02 4.97E+01 2.34E+01 1.05E+01 4.53E+00 1.86E+00 7.28E-01 2.73E-01 9.76E-02 3.34E-02 1.09E-02 3.41E-03 1.02E-03 2.92E-04
   7.00  0.734  1.46E+05 1.26E+05 1.42E+06 5.10E+03 9.58E+03 1.30E+04 1.49E+04 1.55E+04 1.48E+04 1.32E+04 1.11E+04 8.77E+03 6.58E+03 4.69E+03 3.18E+03 2.05E+03 1.26E+03 7.44E+02 4.18E+02 2.24E+02 1.15E+02 5.66E+01 2.66E+01 1.20E+01 5.15E+00 2.12E+00 8.37E-01 3.17E-01 1.15E-01 3.98E-02 1.32E-02 4.21E-03 1.29E-03
   7.50  0.759  2.51E+05 2.10E+05 2.45E+06 8.11E+03 1.53E+04 2.08E+04 2.42E+04 2.53E+04 2.44E+04 2.21E+04 1.88E+04 1.51E+04 1.16E+04 8.42E+03 5.84E+03 3.87E+03 2.45E+03 1.48E+03 8.60E+02 4.78E+02 2.54E+02 1.30E+02 6.33E+01 2.97E+01 1.33E+01 5.75E+00 2.38E+00 9.46E-01 3.61E-01 1.32E-01 4.64E-02 1.57E-02 5.08E-03
   8.00  0.784  4.24E+05 3.46E+05 4.14E+06 1.28E+04 2.41E+04 3.29E+04 3.85E+04 4.07E+04 3.97E+04 3.63E+04 3.13E+04 2.56E+04 1.99E+04 1.48E+04 1.05E+04 7.10E+03 4.61E+03 2.86E+03 1.71E+03 9.78E+02 5.37E+02 2.83E+02 1.43E+02 6.98E+01 3.26E+01 1.47E+01 6.34E+00 2.64E+00 1.05E+00 4.05E-01 1.50E-01 5.32E-02 1.82E-02
   8.50  0.808  7.06E+05 5.63E+05 6.89E+06 1.98E+04 3.76E+04 5.15E+04 6.06E+04 6.45E+04 6.35E+04 5.87E+04 5.13E+04 4.25E+04 3.36E+04 2.54E+04 1.83E+04 1.27E+04 8.43E+03 5.37E+03 3.29E+03 1.93E+03 1.09E+03 5.94E+02 3.11E+02 1.57E+02 7.59E+01 3.54E+01 1.59E+01 6.90E+00 2.88E+00 1.15E+00 4.47E-01 1.67E-01 5.99E-02
   9.00  0.832  1.16E+06 9.05E+05 1.13E+07 3.05E+04 5.80E+04 7.99E+04 9.44E+04 1.01E+05 1.00E+05 9.38E+04 8.28E+04 6.96E+04 5.58E+04 4.28E+04 3.14E+04 2.22E+04 1.50E+04 9.77E+03 6.12E+03 3.69E+03 2.14E+03 1.20E+03 6.45E+02 3.35E+02 1.68E+02 8.09E+01 3.76E+01 1.69E+01 7.32E+00 3.06E+00 1.23E+00 4.80E-01 1.80E-01
   9.50  0.855  1.88E+06 1.45E+06 1.84E+07 4.78E+04 9.09E+04 1.25E+05 1.49E+05 1.60E+05 1.59E+05 1.50E+05 1.33E+05 1.12E+05 9.08E+04 7.02E+04 5.21E+04 3.71E+04 2.54E+04 1.67E+04 1.06E+04 6.49E+03 3.82E+03 2.17E+03 1.19E+03 6.26E+02 3.19E+02 1.57E+02 7.44E+01 3.41E+01 1.51E+01 6.44E+00 2.65E+00 1.06E+00 4.06E-01
  10.00  0.877  3.03E+06 2.29E+06 2.95E+07 7.40E+04 1.41E+05 1.95E+05 2.31E+05 2.50E+05 2.50E+05 2.36E+05 2.11E+05 1.79E+05 1.46E+05 1.14E+05 8.52E+04 6.13E+04 4.24E+04 2.82E+04 1.81E+04 1.12E+04 6.69E+03 3.85E+03 2.14E+03 1.15E+03 5.93E+02 2.97E+02 1.43E+02 6.69E+01 3.01E+01 1.31E+01 5.53E+00 2.25E+00 8.85E-01
  11.00  0.920  8.61E+06 5.58E+06 7.34E+07 1.73E+05 3.29E+05 4.57E+05 5.46E+05 5.92E+05 5.98E+05 5.69E+05 5.14E+05 4.42E+05 3.65E+05 2.88E+05 2.19E+05 1.60E+05 1.13E+05 7.68E+04 5.03E+04 3.19E+04 1.95E+04 1.15E+04 6.55E+03 3.61E+03 1.93E+03 9.94E+02 4.96E+02 2.39E+02 1.12E+02 5.04E+01 2.20E+01 9.33E+00 3.82E+00
  12.00  0.961  2.17E+07 1.31E+07 1.76E+08 3.90E+05 7.46E+05 1.04E+06 1.24E+06 1.36E+06 1.38E+06 1.32E+06 1.20E+06 1.05E+06 8.74E+05 7.00E+05 5.40E+05 4.01E+05 2.87E+05 1.98E+05 1.33E+05 8.56E+04 5.34E+04 3.22E+04 1.88E+04 1.06E+04 5.82E+03 3.08E+03 1.58E+03 7.86E+02 3.78E+02 1.76E+02 7.97E+01 3.49E+01 1.48E+01
  13.00  1.000  5.15E+07 2.98E+07 4.08E+08 8.56E+05 1.64E+06 2.29E+06 2.75E+06 3.02E+06 3.08E+06 2.98E+06 2.73E+06 2.40E+06 2.02E+06 1.64E+06 1.28E+06 9.62E+05 6.99E+05 4.91E+05 3.33E+05 2.19E+05 1.39E+05 8.57E+04 5.11E+04 2.95E+04 1.65E+04 8.97E+03 4.72E+03 2.41E+03 1.19E+03 5.71E+02 2.66E+02 1.20E+02 5.25E+01
  14.00  1.038  1.17E+08 6.58E+07 9.17E+08 1.83E+06 3.51E+06 4.90E+06 5.92E+06 6.52E+06 6.70E+06 6.51E+06 6.02E+06 5.33E+06 4.53E+06 3.71E+06 2.93E+06 2.23E+06 1.64E+06 1.17E+06 8.05E+05 5.37E+05 3.47E+05 2.18E+05 1.32E+05 7.79E+04 4.45E+04 2.47E+04 1.33E+04 6.94E+03 3.52E+03 1.73E+03 8.26E+02 3.83E+02 1.73E+02
  15.00  1.074  2.59E+08 1.42E+08 2.01E+09 3.82E+06 7.33E+06 1.03E+07 1.24E+07 1.38E+07 1.42E+07 1.39E+07 1.29E+07 1.15E+07 9.88E+06 8.16E+06 6.50E+06 5.00E+06 3.73E+06 2.69E+06 1.88E+06 1.27E+06 8.34E+05 5.31E+05 3.28E+05 1.97E+05 1.15E+05 6.47E+04 3.55E+04 1.90E+04 9.82E+03 4.95E+03 2.42E+03 1.15E+03 5.31E+02
  16.00  1.109  5.57E+08 2.98E+08 4.29E+09 7.80E+06 1.50E+07 2.11E+07 2.56E+07 2.84E+07 2.94E+07 2.89E+07 2.71E+07 2.43E+07 2.10E+07 1.75E+07 1.40E+07 1.09E+07 8.22E+06 5.99E+06 4.24E+06 2.91E+06 1.93E+06 1.25E+06 7.84E+05 4.78E+05 2.83E+05 1.63E+05 9.10E+04 4.95E+04 2.62E+04 1.35E+04 6.72E+03 3.27E+03 1.55E+03
  17.00  1.143  1.17E+09 6.13E+08 8.96E+09 1.56E+07 3.01E+07 4.23E+07 5.15E+07 5.73E+07 5.97E+07 5.89E+07 5.54E+07 5.01E+07 4.35E+07 3.65E+07 2.96E+07 2.32E+07 1.77E+07 1.30E+07 9.30E+06 6.45E+06 4.35E+06 2.85E+06 1.81E+06 1.12E+06 6.74E+05 3.94E+05 2.24E+05 1.24E+05 6.68E+04 3.50E+04 1.78E+04 8.86E+03 4.28E+03
  18.00  1.177  2.41E+09 1.24E+09 1.83E+10 3.07E+07 5.92E+07 8.34E+07 1.02E+08 1.14E+08 1.19E+08 1.18E+08 1.11E+08 1.01E+08 8.85E+07 7.48E+07 6.11E+07 4.83E+07 3.70E+07 2.76E+07 1.99E+07 1.40E+07 9.52E+06 6.31E+06 4.07E+06 2.55E+06 1.56E+06 9.23E+05 5.33E+05 3.00E+05 1.64E+05 8.76E+04 4.55E+04 2.30E+04 1.13E+04
  19.00  1.209  4.86E+09 2.45E+09 3.68E+10 5.95E+07 1.15E+08 1.62E+08 1.98E+08 2.22E+08 2.32E+08 2.31E+08 2.20E+08 2.01E+08 1.77E+08 1.50E+08 1.23E+08 9.84E+07 7.61E+07 5.71E+07 4.16E+07 2.95E+07 2.03E+07 1.36E+07 8.89E+06 5.64E+06 3.49E+06 2.10E+06 1.23E+06 7.02E+05 3.91E+05 2.12E+05 1.12E+05 5.75E+04 2.88E+04
  20.00  1.240  9.65E+09 4.78E+09 7.27E+10 1.13E+08 2.19E+08 3.09E+08 3.79E+08 4.25E+08 4.47E+08 4.46E+08 4.26E+08 3.91E+08 3.46E+08 2.96E+08 2.45E+08 1.97E+08 1.53E+08 1.16E+08 8.53E+07 6.10E+07 4.24E+07 2.88E+07 1.90E+07 1.22E+07 7.62E+06 4.64E+06 2.76E+06 1.60E+06 9.01E+05 4.96E+05 2.66E+05 1.39E+05 7.09E+04
  22.50  1.315  6.91E+10 2.38E+10 3.72E+11 5.34E+08 1.03E+09 1.46E+09 1.80E+09 2.03E+09 2.15E+09 2.17E+09 2.09E+09 1.94E+09 1.74E+09 1.50E+09 1.26E+09 1.03E+09 8.16E+08 6.29E+08 4.72E+08 3.45E+08 2.45E+08 1.70E+08 1.15E+08 7.57E+07 4.86E+07 3.05E+07 1.87E+07 1.11E+07 6.49E+06 3.69E+06 2.05E+06 1.11E+06 5.87E+05
  25.00  1.387  3.42E+11 1.09E+11 1.75E+12 2.34E+09 4.52E+09 6.43E+09 7.95E+09 9.01E+09 9.60E+09 9.73E+09 9.45E+09 8.84E+09 8.00E+09 7.01E+09 5.96E+09 4.93E+09 3.96E+09 3.10E+09 2.36E+09 1.76E+09 1.27E+09 9.01E+08 6.22E+08 4.19E+08 2.75E+08 1.77E+08 1.11E+08 6.80E+07 4.07E+07 2.38E+07 1.36E+07 7.61E+06 4.16E+06
  30.00  1.519  9.75E+12 1.88E+12 3.15E+13 3.71E+10 7.20E+10 1.03E+11 1.28E+11 1.46E+11 1.57E+11 1.61E+11 1.59E+11 1.51E+11 1.39E+11 1.24E+11 1.07E+11 9.06E+10 7.46E+10 5.99E+10 4.69E+10 3.59E+10 2.68E+10 1.96E+10 1.40E+10 9.76E+09 6.66E+09 4.45E+09 2.91E+09 1.86E+09 1.16E+09 7.13E+08 4.28E+08 2.51E+08 1.44E+08
  40.00  1.754  3.12E+15 3.11E+14 5.60E+15 5.38E+12 1.05E+13 1.51E+13 1.89E+13 2.18E+13 2.38E+13 2.48E+13 2.49E+13 2.41E+13 2.27E+13 2.08E+13 1.86E+13 1.62E+13 1.38E+13 1.15E+13 9.34E+12 7.44E+12 5.81E+12 4.44E+12 3.33E+12 2.45E+12 1.76E+12 1.24E+12 8.62E+11 5.86E+11 3.91E+11 2.56E+11 1.64E+11 1.04E+11 6.41E+10
  50.00  1.961  3.00E+17 2.96E+16 5.62E+17 4.61E+14 9.01E+14 1.30E+15 1.64E+15 1.91E+15 2.10E+15 2.22E+15 2.25E+15 2.22E+15 2.12E+15 1.98E+15 1.80E+15 1.61E+15 1.40E+15 1.19E+15 9.99E+14 8.19E+14 6.59E+14 5.21E+14 4.04E+14 3.07E+14 2.30E+14 1.69E+14 1.22E+14 8.64E+13 6.02E+13 4.13E+13 2.78E+13 1.84E+13 1.20E+13
  60.00  2.148  1.93E+19 1.90E+18 3.77E+19 2.72E+16 5.31E+16 7.69E+16 9.75E+16 1.14E+17 1.27E+17 1.35E+17 1.38E+17 1.37E+17 1.33E+17 1.26E+17 1.16E+17 1.05E+17 9.35E+16 8.13E+16 6.94E+16 5.81E+16 4.79E+16 3.87E+16 3.08E+16 2.41E+16 1.85E+16 1.40E+16 1.04E+16 7.62E+15 5.49E+15 3.90E+15 2.72E+15 1.87E+15 1.26E+15
  70.00  2.320  9.20E+20 9.00E+19 1.85E+21 1.20E+18 2.34E+18 3.40E+18 4.33E+18 5.09E+18 5.68E+18 6.07E+18 6.28E+18 6.30E+18 6.17E+18 5.90E+18 5.52E+18 5.06E+18 4.55E+18 4.01E+18 3.48E+18 2.96E+18 2.48E+18 2.05E+18 1.66E+18 1.33E+18 1.04E+18 8.06E+17 6.15E+17 4.61E+17 3.41E+17 2.49E+17 1.79E+17 1.26E+17 8.81E+16
  80.00  2.480  3.44E+22 3.34E+21 7.09E+22 4.17E+19 8.18E+19 1.19E+20 1.52E+20 1.79E+20 2.01E+20 2.16E+20 2.25E+20 2.27E+20 2.24E+20 2.16E+20 2.04E+20 1.89E+20 1.72E+20 1.53E+20 1.35E+20 1.16E+20 9.90E+19 8.29E+19 6.83E+19 5.55E+19 4.44E+19 3.50E+19 2.72E+19 2.08E+19 1.57E+19 1.17E+19 8.61E+18 6.24E+18 4.46E+18
  90.00  2.631  1.05E+24 1.02E+23 2.21E+24 1.20E+21 2.35E+21 3.42E+21 4.38E+21 5.19E+21 5.84E+21 6.30E+21 6.59E+21 6.71E+21 6.66E+21 6.47E+21 6.16E+21 5.75E+21 5.28E+21 4.76E+21 4.23E+21 3.69E+21 3.18E+21 2.70E+21 2.25E+21 1.86E+21 1.51E+21 1.21E+21 9.53E+20 7.43E+20 5.71E+20 4.33E+20 3.24E+20 2.40E+20 1.75E+20
 100.00  2.773  2.71E+25 2.60E+24 5.80E+25 2.92E+22 5.73E+22 8.36E+22 1.07E+23 1.27E+23 1.44E+23 1.56E+23 1.64E+23 1.67E+23 1.67E+23 1.63E+23 1.56E+23 1.47E+23 1.36E+23 1.24E+23 1.11E+23 9.80E+22 8.52E+22 7.30E+22 6.17E+22 5.14E+22 4.23E+22 3.43E+22 2.75E+22 2.17E+22 1.70E+22 1.31E+22 9.95E+21 7.48E+21 5.55E+21
 110.00  2.908  6.04E+26 5.76E+25 1.31E+27 6.16E+23 1.21E+24 1.77E+24 2.27E+24 2.71E+24 3.06E+24 3.33E+24 3.51E+24 3.61E+24 3.62E+24 3.56E+24 3.43E+24 3.25E+24 3.03E+24 2.77E+24 2.50E+24 2.23E+24 1.96E+24 1.69E+24 1.44E+24 1.22E+24 1.01E+24 8.30E+23 6.73E+23 5.39E+23 4.26E+23 3.33E+23 2.57E+23 1.96E+23 1.47E+23
 120.00  3.038  1.18E+28 1.12E+27 2.60E+28 1.15E+25 2.27E+25 3.31E+25 4.26E+25 5.08E+25 5.76E+25 6.29E+25 6.65E+25 6.86E+25 6.91E+25 6.82E+25 6.61E+25 6.29E+25 5.90E+25 5.44E+25 4.95E+25 4.44E+25 3.92E+25 3.42E+25 2.95E+25 2.50E+25 2.10E+25 1.74E+25 1.43E+25 1.16E+25 9.24E+24 7.31E+24 5.71E+24 4.41E+24 3.36E+24
